well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0579,L09,239128.1924,120016.8284,1465.94,0.3525,24.47,0.5681294
W0580,L09,238994.9641,118612.9073,1470.6785,0.34,29.45,0.5584561
W0582,L09,240816.4875,121096.1176,1486.649,0.3525,22.81,0.5611861
W0583,L09,240364.3648,121386.1049,1478.108,0.3275,19.49,0.5720333
W0584,L09,240750.3372,121725.8294,1486.4735,0.34,27.79,0.5250682
W0589,L11,239380.4322,119523.2344,1569.4265,0.365,34.43,0.4839544
W0590,L11,239598.0805,119376.8798,1588.439,0.3775,40.24,0.4677109
W0595,L10,241491.3514,117080.7148,1525.025,0.39,36.92,0.657
W0597,L08,239097.519,119200.636,1550.882,0.415,53.52,0.4914892
W0598,L13,240621.4657,118400.3535,1749.9575,0.39,41.9,0.4901333
W0599,L10,240602.5124,119389.799,1660.043,0.3775,31.11,0.4189076
W0602,L12,240537.9225,120512.9286,1725.5045,0.3775,23.64,0.4233939
W0603,L11,240487.9988,121568.2847,1274.2355,0.415,23.64,0.4622236
W0605,L08,239761.8597,118284.1851,1591.13,0.4025,45.22,0.4826531
W0609,L09,238928.8105,117770.2354,1482.086,0.39,53.52,0.5140117
W0610,L07,239093.8567,121516.0902,1469.9765,0.39,36.92,0.4575371
W0612,L12,238951.1708,120359.8313,1738.9595,0.415,36.09,0.4924629
W0613,L12,242051.4068,119332.8689,1634.7125,0.3775,36.09,0.5229297
W0614,L09,238683.1438,119282.4971,1556.3225,0.365,36.92,0.4760192
W0615,L12,240566.4817,118486.7385,1652.087,0.3275,15.34,0.5544703
W0616,L12,240559.6442,119500.7367,1654.544,0.34,15.34,0.5144394
W0617,L12,240555.8728,119460.5051,1629.623,0.0,21.98,0.500571
W0618,L12,240553.5937,121407.4153,1623.1295,0.3775,31.11,0.454252
W0619,L12,240531.8231,121455.6249,1662.7925,0.3025,5.38,0.5952656
W0620,L12,240566.5394,123083.4102,1678.646,0.315,17,0.3890869
W0621,L12,239760.6569,117895.4268,1645.184,0.3275,21.15,0.5396464
W0622,L10,239766.2618,120266.8802,1566.9695,0.3525,25.3,0.5178701
W0623,L12,239761.196,120317.1518,1655.129,0.34,21.98,0.5219196
W0624,L09,239696.3776,121189.9012,1541.2295,0.3275,24.47,0.5427677
W0625,L07,239697.5108,121239.7588,1501.4495,0.3775,30.28,0.4441874
W0626,L12,239014.2874,118526.2232,1593.938,0.0,17.83,0.5790403
W0627,L12,239021.4599,118575.7871,1605.1115,0.3025,17,0.5885134
W0629,L06,238388.2761,119922.4083,1457.867,0.365,19.49,0.5634611
W0630,L12,238656.445,120982.9821,1668.4085,0.3025,13.68,0.602491
W0631,L13,239901.8897,119169.2294,1703.6255,0.3775,31.11,0.5495108
W0632,L13,240142.0028,119817.7058,1682.7995,0.39,36.09,0.5326121
W0633,L09,239721.1504,121089.8447,1633.8935,0.3775,39.41,0.5376444
W0634,L13,240091.8378,120440.8813,1686.836,0.39,34.43,0.5020361
W0636,L12,239417.3089,120296.8126,1681.3955,0.39,48.54,0.5419578
W0637,L11,239714.0235,118981.7355,1586.216,0.3775,46.88,0.4347689
W0638,L10,239338.4659,119811.1704,1580.1905,0.3775,31.11,0.4593389
W0639,L11,240619.9979,119453.8795,1628.2775,0.39,37.75,0.535424
W0640,L13,240708.6671,120153.62,1692.686,0.39,40.24,0.5370529
